p	2003-10-15	Barrio Santander, Corporacion Casa Mia	Reunion preparatoria para acompañamiento al retorno de la comunidad del corregimiento de Aquitania	Organizacion de Grupos de Tarea para acompañamiento al retorno de la comunidad del corregimiento de Aquitania	30	(-75.574974,6.307394)	- 	-	-	-
l	2003-11-15	Corregimiento de Aquitania municipio de San Francisco Antioquia	Acompañamiento al retorno a la comunidad del corregimiento de Aquitania.	Vincular a jóvenes que padecen la guerra urbana, interactuando con jóvenes y adultos victimas de la guerra rural , es transferirle a los jóvenes de los territorios en conflicto ,que están involucrados en proyectos pacíficos , el liderazgo que haga visible su creación e iniciativas. En aras de la construcción de una metodología de intervención para el acompañamiento de desplazados y el apoyo a retornos dignos y voluntarios, los relacionamientos con las poblaciones en vulneración no son institucionales, lo cual les permite superar esquemas tradicionales y construir sobre el terreno con un alto contenido de trabajo de campo.	850	(-75.574974, 6.307394), (-74.970628, 5.844590)	- 	-	-	-
l	2003-12-20	Albergue La Mano de Dios	acompañamiento navideño al albergue la mano de Dios	acompañamiento navideño al albergue la mano de Dios	100	(-75.574974, 6.307394), (-75.537336, 6.307194)	- 	-	-	-
